Mapping_DIW;Unit;Fuel;Technology;Investment;FixedCost;EconomicLifetime
GTUR;GAS-COMC;Gas;COMC;550000;15000;30
Coal;HRD-STUR;HRD;STUR;1800000;50000;30
LIG;LIG-STUR;LIG;STUR;1800000;60000;30
NUC;NUC-STUR;NUC;STUR;6000000;100000;30
OilSteam;OIL-STUR;OIL;STUR;400000;6000;30
Reservoir;WAT-HDAM;WAT;HDAM;2000000;20000;30
PSP;WAT-HPHS;WAT;HPHS;2000000;20000;30
RoR;WAT-HROR;WAT;HROR;3000000;60000;30
PV;SUN-PHOT;SUN;PHOT;998000;25000;20
Biomass;BIO-STUR;BIO;STUR;2400000;100000;30
Waste;WST-STUR;WST;STUR;2424000;100000;30
Wind offshore;WIN-WTOF;WIN;WTOF;3500000;35000;20
Wind onshore;WIN-WTON;WIN;WTON;1063000;35000;20
